,OSEBuildingID,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,GFAParkingRate,GFABuildingsRate,LargestPropertyUseType,LargestGFARate,SecondLargestPropertyUseType,SecondLargestGFARate,ThirdLargestPropertyUseType,ThirdLargestGFARate,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Latitude,Longitude,Description,Zone,Haversine(km),GFAPerBuilding,GFAPerFloor
213,333,NonResidential,Large Office,1969,1.0,20.0,265851.0,12.16,87.84,Office,85.18,No information,0.0,No information,0.0,92.5,13788494.5,536.47,0.007840500000000361,-0.005129199999998946,Plaza 600 at 600 Stewart Street,North DownTown,0.9528512815701422,265851.0,13292.55
214,334,NonResidential,Large Office,2009,1.0,25.0,811393.0,28.18,71.82,Office,71.82,No information,0.0,No information,0.0,95.5,25829896.0,214.09,0.009610500000000854,-0.005249200000008614,West 8th at 2001 - 8th Avenue,North DownTown,1.1387854862683406,811393.0,32455.72
215,335,NonResidential,Large Office,1968,1.0,12.0,257250.0,19.92,80.08,Office,62.59,No information,0.0,No information,0.0,89.5,8926778.5,225.13,0.010360500000004436,-0.009479200000001242,Denny Building at 2200 Sixth Avenue,North DownTown,1.3535592270967804,257250.0,21437.5
216,336,NonResidential,Large Office,2009,1.0,36.0,898534.0,17.25,82.75,Office,82.75,No information,0.0,No information,0.0,97.0,38962390.0,271.625,0.009550500000003126,-0.0038892000000032567,1918 Eighth Avenue at 1918 Eighth Avenue,North DownTown,1.1012616807775928,898534.0,24959.28
217,337,NonResidential,Large Office,1990,1.0,16.0,480840.0,29.45,70.55,Office,64.83,Fitness Center/Health Club/Gym,3.79,No information,0.0,94.0,17760466.0,129.8,0.009250500000000272,-0.0013492000000070448,1800 Ninth at 1800 9th Avenue,North DownTown,1.0335706024627727,480840.0,30052.5
218,338,NonResidential,Other,2004,1.0,11.0,318432.0,21.49,78.51,Other,78.51,No information,0.0,No information,0.0,,63582010.0,1975.01,0.009770500000001903,-0.0024092000000024427,Jack R. McDonald Building at 1900 9th Ave.,North DownTown,1.1013402390752174,318432.0,28948.36
219,339,NonResidential,Small- and Mid-Sized Office,1900,1.0,7.0,89550.0,0.0,100.0,Office,72.26,Retail Store,11.23,Social/Meeting Hall,7.85,83.0,4007632.875,51.135,-0.0035694999999975607,-0.0010892000000097823,Broderick Building at 615 2nd Avenue,North DownTown,0.40522416601464095,89550.0,12792.86
220,340,NonResidential,Small- and Mid-Sized Office,1900,1.0,6.0,89355.0,0.0,100.0,Office,92.17,Retail Store,7.83,No information,0.0,60.5,4460434.75,34.555,-0.004169499999996162,-0.0017092000000076268,The Pioneer Building at 600 First Ave,North DownTown,0.4810111749339321,89355.0,14892.5
221,341,NonResidential,Large Office,1922,1.0,15.0,388934.0,0.0,100.0,Office,100.0,No information,0.0,No information,0.0,86.5,19443257.0,211.02,-0.002659500000000037,-0.0005091999999962127,Dexter Horton Building at 710 2nd Avenue,North DownTown,0.29817724814767815,388934.0,25928.93
222,342,NonResidential,Large Office,1929,1.0,22.0,384302.0,0.0,100.0,Office,90.81,Retail Store,0.86,Food Service,0.37,98.0,9962217.0,69.45,-0.0021794999999968923,-0.0025691999999963855,Seattle Exchange Building at 821 2nd ave,North DownTown,0.3095720544690576,384302.0,17468.27
223,343,NonResidential,Large Office,1958,1.0,17.0,378525.0,22.35,77.65,Office,62.57,Restaurant,3.88,No information,0.0,68.5,25191232.0,901.555,-0.002409499999998843,-0.0022892000000069856,Norton Building at 801 2nd Ave Suite 1300,North DownTown,0.31818070617692934,378525.0,22266.18
224,345,NonResidential,Large Office,1983,1.0,47.0,1595737.0,17.09,82.91,Office,63.36,Restaurant,2.36,No information,0.0,93.5,44879268.0,320.345,-0.0010694999999998345,-0.0023892000000103053,"999 Third Avenue at 999 3rd Avenue, Suite 1550",North DownTown,0.21500446820952915,1595737.0,33951.85
